Özellik,Filtreleme,Sarmalayıcı,Gömülü,Ortak_Sayısı
LDA_01,✓,✓,✓,3
LDA_02,✓,✓,✓,3
is_weekend,✓,✓,✓,3
kw_avg_avg,✓,✓,✓,3
kw_min_avg,✓,✓,✓,3
data_channel_is_tech,✓,✓,,2
data_channel_is_entertainment,✓,,✓,2
LDA_04,✓,,✓,2
n_non_stop_unique_tokens,,✓,✓,2
kw_max_avg,,✓,✓,2
kw_avg_min,,✓,✓,2
data_channel_is_socmed,✓,✓,,2
kw_avg_max,,✓,,1
global_subjectivity,✓,,,1
global_sentiment_polarity,✓,,,1
LDA_03,,✓,,1
kw_max_min,,✓,,1
kw_min_min,,✓,,1
n_non_stop_words,,✓,,1
n_unique_tokens,,,✓,1
num_hrefs,✓,,,1
num_keywords,✓,,,1
self_reference_avg_sharess,,,✓,1
self_reference_max_shares,,,✓,1
self_reference_min_shares,,,✓,1
timedelta,,,✓,1
weekday_is_saturday,✓,,,1
weekday_is_sunday,✓,,,1
